Year,Public and private elementary and secondary education expenditures,Public Schools,Private schools
1999,3922073,3745714,176359
2000,4139444,3933004,206440
2001,4401026,4175658,225368
2002,4724349,4477070,247279
2003,4999747,4739070,260677
2004,5232385,4961555,270830
2005,5603537,5317239,286298
2006,6694114,6393989,300125
2007,6673545,6354827,318718
2008,7502283,7140173,362110
2009,8120240,7734498,385742
2010,8346972,7957402,389570
2011,8426863,8029194,397669
2012,8548528,8126384,422144
2013,8825493,8391569,433924
