"Table 051-0001 Estimates of population, by age group and sex for July 1, Canada, provinces and territories, annual (persons unless otherwise noted)(1,2,6,7)"
Survey or program details:
"Estimates of Population by Age and Sex for Canada, Provinces and Territories - 3604"
Geography,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta,Alberta
Sex,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes,Both sexes
Age group,All ages,0 to 4 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 to 89 years,90 to 94 years,95 to 99 years,100 years and over,Median age (years)
1971,1665717,153696,182333,184165,165751,150387,124117,103317,100402,97058,89387,75742,66203,52706,42622,30573,21820,15007,7622,,,,24.9
1972,1694090,151701,176556,188031,173630,152080,133508,106689,99997,98004,89627,79282,67168,54229,43921,31605,21874,15294,7798,,,,25.2
1973,1725327,151064,169309,191351,180636,157381,141366,111762,99841,99019,90859,82218,67917,55619,45186,33104,22026,15245,8115,,,,25.4
1974,1754621,150099,162627,192614,185607,166202,147847,117366,100140,99443,91709,84852,68210,57860,45779,34677,22541,15075,8491,,,,25.7
1975,1808689,151891,162002,191739,191260,179698,158495,124678,102990,100149,94411,86354,70568,60298,46938,36125,23651,15160,8608,,,,25.8
1976,1869287,154864,164607,188172,196070,193757,170200,132755,107123,101796,96731,88193,73707,62143,48943,37383,24793,15415,8635,,,,26.1
1977,1948263,160056,166031,184515,208474,210485,180412,147160,113572,103775,99229,89008,77629,63798,50658,38814,25908,15691,8867,,,,26.2
1978,2022241,165749,168355,179950,216853,224662,192193,159573,121812,105519,101819,90933,80651,65042,52352,40260,27148,16089,8907,,,,26.4
1979,2096966,173097,170068,176895,220907,239421,206914,171157,129922,108490,103502,92992,83478,65696,54435,41201,28642,16587,8901,,,,26.5
1980,2191029,181667,173075,178461,221584,258961,226312,185739,138781,112997,104678,96390,84917,67740,56338,42121,29991,17346,9089,,,,26.7
1981,2291104,190583,176632,181234,220192,278579,248191,200970,148550,118564,106667,98972,86738,70306,57965,43511,31044,18107,9367,,,,26.8
1982,2369827,199181,181552,181869,216545,284056,266941,209980,163581,124151,108349,101602,88217,74343,59348,44586,32141,18829,9564,,,,27.2
1983,2393587,205110,182559,180819,205547,273968,274129,215919,172845,129371,108947,102853,90072,77250,60279,46035,33244,19807,9755,,,,27.6
1984,2393907,207425,183304,178340,193733,261719,272165,221110,178403,133595,109899,103160,91598,79942,61014,48152,34068,21009,10111,,,,28.1
1985,2404490,207997,184718,176232,187259,251705,269005,228776,185009,138290,111273,102901,93949,80775,63251,50268,35047,22150,10533,,,,28.6
1986,2432930,208372,187127,175249,187506,243707,267875,238047,192216,144105,113723,103557,95838,82127,65898,51911,36183,22913,11085,,,,29.0
1987,2440877,208851,188813,174589,184172,229046,262583,242841,193571,154217,116845,103473,97142,83171,69207,53435,37442,24006,11763,,,,29.5
1988,2456614,207792,193026,175022,182214,214723,258380,246926,198935,162097,122245,103690,98166,84810,72009,54427,38813,25019,12446,,,,29.9
1989,2498325,209591,199102,178899,181484,205785,256578,251921,208683,170555,128261,105436,99023,86753,74872,55195,40925,25795,13330,,,,30.3
1990,2547788,211584,204797,183571,181741,202357,251742,256895,219668,180405,134099,107791,99190,89316,76457,57803,42977,26695,14175,,,,30.7
1991,2592306,211536,209426,188822,181552,200928,242744,261237,230851,189783,140484,111271,99912,91209,78155,60445,44549,27746,14573,,,,31.2
1992,2632672,213052,211531,194276,183037,199603,234281,262241,240299,193359,151698,115151,100753,93199,79110,63770,45903,28821,15190,,,,31.5
1993,2667292,212232,211534,199876,184737,197412,224509,262026,248423,199646,161342,120673,101981,94965,80904,66547,46903,29978,15825,..,..,..,32.0
1994,2700606,208493,211820,205131,188494,195274,216011,260128,254121,209125,170150,126377,103985,96159,82927,68944,47547,31463,16304,..,..,..,32.4
1995,2734519,203075,213375,209383,192696,193987,211069,254893,258729,219396,179996,131716,106250,96845,85409,69951,49499,32922,16772,..,..,..,32.9
1996,2775133,199415,213338,212657,197623,196618,211324,246654,262258,230546,188521,138183,109431,97485,87474,71330,51800,34153,17471,..,..,..,33.3
1997,2829848,196960,215028,215692,203813,201347,213740,240932,265772,242535,193536,150309,113214,98102,89297,72376,54713,35179,18138,..,..,..,33.6
1998,2899066,196628,216905,218112,212158,209866,218847,235739,269932,252937,201577,161339,118909,99389,90918,74299,57179,35789,19097,..,..,..,33.9
1999,2952692,195348,215366,220132,218103,216681,221955,230243,270916,260293,212414,170731,124830,101295,91987,76190,59430,36679,20175,..,..,..,34.2
2000,3004198,193496,212607,223164,222923,222450,224852,227799,268445,266604,223775,181363,130724,103537,92601,78742,60724,38684,21346,..,..,..,34.5
2001,3058084,190971,211230,224662,227759,229583,227866,230538,261637,272078,235878,190710,137631,106839,93318,80972,62299,40840,22402,8462,2140,269,34.7
2002,3128262,191740,210176,227565,233149,237276,234071,234995,256495,277104,248803,196829,149994,111314,94268,82919,63493,43585,22923,9037,2249,277,34.9
2003,3182852,193636,208159,228810,235457,243032,238874,237878,249435,280359,258890,204298,160645,116799,95399,84333,65438,45822,23431,9602,2293,262,35.1
2004,3238387,196420,206708,228064,238852,249298,244271,240185,243614,282006,266620,215290,170039,122736,97050,85283,67322,47839,24301,9801,2441,247,35.3
2005,3321638,202005,206897,227475,244469,259182,253326,245798,244458,282590,274410,227976,180897,128855,99349,86075,69746,49006,26164,10079,2589,292,35.4
2006,3421361,210685,207637,227811,248494,272178,264850,253345,251629,279931,281355,242084,191351,135983,103098,86929,71841,50526,28163,10337,2759,375,35.5
2007,3514031,219379,208681,226651,249460,282293,280398,261626,258630,276503,288201,255019,196990,147370,106952,87262,73296,51333,29782,10940,2896,369,35.6
2008,3595755,228241,210618,225696,250382,284592,296058,270886,265059,271488,293751,265462,204054,157310,111630,87947,74255,52616,30955,11378,3006,371,35.6
2009,3679092,236565,213246,225479,249871,286053,311475,281973,270605,267877,297865,274291,215019,166205,116655,89514,74838,53995,32111,11970,3022,463,35.7
2010,3732573,244431,215948,224142,247459,282803,317222,289854,272514,264752,296238,281421,226647,175780,121152,91810,75103,55936,32707,13126,3082,446,35.8
2011,3790191,250316,221483,222946,247509,280534,319138,299386,274303,266996,289439,287372,239340,184513,127178,94748,75809,57641,33647,14115,3324,454,35.9
2012,3880755,256126,230918,222964,246206,283567,325440,314920,282963,272606,283571,292246,251951,190228,138721,98490,76786,59125,34944,15053,3483,447,36.0
2013,3996620,262090,242066,225359,245842,289533,333283,334752,296004,280413,279275,296732,263825,198882,149938,103552,78322,60359,36396,15937,3586,474,36.1
2014,4108283,267886,252315,228702,245543,293942,341626,353664,310394,287383,276434,299688,272540,210241,159364,108632,80051,61134,37737,16742,3739,526,36.1
2015,4179660,273376,261006,232544,243484,291133,343802,362972,321312,290851,274486,297034,278645,221638,168975,113477,82194,61522,39275,17288,4075,571,36.2
2016,4252879,279279,268858,238727,242463,288738,343821,370899,333975,294964,277636,290406,283038,233269,177308,119391,84681,61925,40622,17842,4440,597,36.3
Legend:
..,Not available
Footnotes:
