Ethnic origin,Total responses,Single responses,Multiple responses
European origins,1588160.00,456715.00,1131440.00
British Isles origins,1488090.00,268825.00,1219265.00
English,885825.00,147620.00,738205.00
Western European origins,862460.00,209325.00,653135.00
Other North American origins,713095.00,293720.00,419380.00
German,679700.00,150330.00,529365.00
Canadian,667405.00,287230.00,380175.00
Scottish,661265.00,62820.00,598445.00
Eastern European origins,609840.00,149935.00,459900.00
Irish,539160.00,43330.00,495830.00
French origins,390140.00,43330.00,346810.00
French,388210.00,42790.00,345425.00
Ukrainian,332180.00,82185.00,249990.00
Northern European origins,308445.00,35190.00,273255.00
Scandinavian origins,295660.00,32660.00,262995.00
Aboriginal origins,244560.00,89340.00,155220.00
East and Southeast Asian origins,238840.00,192500.00,46330.00
Dutch (Netherlands),172910.00,49655.00,123250.00
Polish,170935.00,30590.00,140340.00
North American Indian,169355.00,72075.00,97280.00
Southern European origins,168650.00,55275.00,113375.00
Norwegian,144580.00,14145.00,130440.00
Chinese,137600.00,110900.00,26700.00
South Asian origins,107690.00,89805.00,17885.00
Swedish,93805.00,7325.00,86480.00
Russian,92020.00,11075.00,80940.00
East Indian,88165.00,72600.00,15570.00
Métis,83235.00,16515.00,66720.00
Italian,82015.00,22995.00,59020.00
