Year,Population,Urban,Rural
1901," 73,022.00 "," 18,533.00 "," 54,489.00 "
1911," 374,295.00 "," 137,662.00 "," 236,633.00 "
1921," 588,454.00 "," 222,904.00 "," 365,550.00 "
1931," 731,605.00 "," 278,508.00 "," 453,097.00 "
1941," 796,169.00 "," 306,586.00 "," 489,583.00 "
1951," 939,501.00 "," 449,675.00 "," 489,826.00 "
1956," 1,123,116.00 "," 635,824.00 "," 487,292.00 "
1961," 1,331,944.00 "," 843,211.00 "," 488,733.00 "
1966," 1,463,203.00 "," 1,007,407.00 "," 455,796.00 "
1971," 1,627,875.00 "," 1,196,250.00 "," 431,615.00 "
1976," 1,838,035.00 "," 1,379,170.00 "," 458,870.00 "
1981," 2,237,724.00 "," 1,727,545.00 "," 510,179.00 "
1986," 2,365,830.00 "," 1,877,760.00 "," 488,070.00 "
1991," 2,545,553.00 "," 2,030,893.00 "," 514,660.00 "
1996," 2,696,826.00 "," 2,142,815.00 "," 554,011.00 "
2001," 2,974,807.00 "," 2,405,160.00 "," 569,647.00 "
2006," 3,290,350.00 "," 2,699,851.00 "," 590,499.00 "
2011," 3,645,257.00 "," 3,030,402.00 "," 614,855.00 "
